tamarillo	Summer@;Autumn@;Winter	Fruit#_150#_g@;Fruit#_2#_whole	
tangelo	Spring@;Winter	Fruit#_1#_whole@;Fruit#_150#_g	
taro	Summer@;Autumn	Vegetable#_1#_medium@;Vegetable#_1#_cup (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_0.5#_large@;Vegetable#_150#_g (raw)@;Vegetable#_2#_small	
tiny fruit or diced or canned fruit	Spring@;Summer@;Autumn@;Winter	Fruit#_150#_g@;Fruit#_1#_cup	
tofu	Spring@;Summer@;Autumn@;Winter	Calcium#_100#_g@;Protein#_170#_g	
tomato	Spring@;Summer@;Autumn	Vegetable#_75#_g (cooked)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_1#_medium@;Vegetable#_0.5#_large@;Vegetable#_2#_small@;Vegetable#_1#_cup (raw)	
tomato (tinned)	Spring@;Summer@;Autumn@;Winter	Vegetable#_1#_tin	
tomato pasta sauce	Spring@;Summer@;Autumn@;Winter	Other#_1#_g@;Other#_1#_tbsp@;Other#_1#_jar	
tomato paste	Spring@;Summer@;Autumn@;Winter	Other#_1#_tbsp	
toon bud	Spring	Vegetable#_150#_g (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_1#_cup (raw)@;Vegetable#_75#_g (cooked)	
tortilla	Spring@;Summer@;Autumn@;Winter	Grain#_1#_piece	
tuna	Spring@;Summer@;Autumn@;Winter	Protein#_100#_g (cooked)@;Protein#_1#_can	
turkey	Spring@;Summer@;Autumn@;Winter	Protein#_100#_g (raw)@;Protein#_80#_g (cooked)	
turnip	Spring@;Autumn@;Winter	Vegetable#_150#_g (raw)@;Vegetable#_1#_medium@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_75#_g (cooked)@;Vegetable#_2#_small@;Vegetable#_1#_cup (raw)@;Vegetable#_0.5#_large	
veal	Spring@;Summer@;Autumn@;Winter	Protein#_65#_g (cooked)@;Protein#_95#_g (raw)	
vinegar	Spring@;Summer@;Autumn@;Winter	Other#_1#_tbsp	
vinegar (balsamic)	Spring@;Summer@;Autumn@;Winter	Other#_1#_tbsp	
water caltrop	Summer@;Autumn	Vegetable#_150#_g (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_1#_cup (raw)@;Vegetable#_0.5#_cup (cooked)	
water chestnuts	Spring	Vegetable#_0.5#_cup (cooked)@;Vegetable#_75#_g (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)	
water spinach (asian green)	Spring@;Summer	Vegetable#_0.5#_cup (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)@;Vegetable#_75#_g (cooked)	
watercress	Spring@;Summer@;Autumn	Vegetable#_0.5#_cup (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)@;Vegetable#_75#_g (cooked)	
watermelon	Spring@;Summer	Fruit#_150#_g@;Fruit#_1#_cup	
wheat cereal flakes	Spring@;Summer@;Autumn@;Winter	Grain#_30#_g@;Grain#_0.7#_cup	
wine	Spring@;Summer@;Autumn@;Winter	Other#_1#_cup	
winter melon	Summer@;Autumn	Vegetable#_0.5#_cup (cooked)@;Vegetable#_1#_cup (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_150#_g (raw)	
witlof	Spring@;Autumn	Vegetable#_0.5#_cup (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_1#_cup (raw)	
wombok (asian green)	Spring@;Autumn@;Winter	Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_0.5#_cup (cooked)	
wood ear fungus	Autumn	Vegetable#_0.5#_cup (cooked)@;Vegetable#_150#_g (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_1#_cup (raw)	
xian cai/amaranth (asian green)	Spring@;Summer	Vegetable#_150#_g (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_1#_cup (raw)@;Vegetable#_0.5#_cup (cooked)	
yacon	Autumn	Vegetable#_1#_cup (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_75#_g (cooked)@;Vegetable#_150#_g (raw)	
yam	Summer@;Autumn	Vegetable#_75#_g (cooked)@;Vegetable#_1#_cup (raw)@;Vegetable#_150#_g (raw)@;Vegetable#_1#_medium@;Vegetable#_2#_small@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_0.5#_large	
yoghurt	Spring@;Summer@;Autumn@;Winter	Calcium#_0.8#_cup@;Calcium#_200#_g@;Calcium#_13.3#_tbsp	
you mai cai/leaf lettuce (asian green)	Summer@;Autumn	Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)@;Vegetable#_75#_g (cooked)@;Vegetable#_0.5#_cup (cooked)	
zizania (asian green)	Summer@;Autumn	Vegetable#_75#_g (cooked)@;Vegetable#_1#_cup (raw)@;Vegetable#_150#_g (raw)@;Vegetable#_0.5#_cup (cooked)	
zucchini	Spring@;Summer@;Autumn	Vegetable#_1#_medium@;Vegetable#_2#_small@;Vegetable#_150#_g (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_1#_cup (raw)@;Vegetable#_0.5#_large@;Vegetable#_75#_g (cooked)	
zucchini flower	Summer	Vegetable#_150#_g (raw)@;Vegetable#_1#_cup (raw)@;Vegetable#_0.5#_cup (cooked)@;Vegetable#_75#_g (cooked)	
